Row  ,Par1 ,Par2 ,Smp1 ,Par3 ,Par4 ,Smp2 ,Inst# ,InstName      ,Smp1Desc ,Smp1Note ,Smp2Desc ,Smp2Note
0084 ,0000 ,0079 ,0008 ,0000 ,0081 ,0009 ,21    ,HARPSICHORD3  ,HrpsiL   ,A1       ,HrpsiH   ,A1
0085 ,0000 ,0079 ,000a ,0000 ,0083 ,000b ,21    ,HARPSICHORD3  ,HrpsiL   ,A2       ,HrpsiH   ,A2
0086 ,0000 ,0079 ,000c ,0000 ,0086 ,000d ,21    ,HARPSICHORD3  ,HrpsiL   ,A3       ,HrpsiH   ,A3
0087 ,0000 ,0079 ,000e ,0000 ,0088 ,000f ,21    ,HARPSICHORD3  ,HrpsiL   ,A4       ,HrpsiH   ,A4

0088 ,0000 ,008a ,0007 ,0000 ,008a ,0007 ,22    ,HARPSICHORD4  ,HrpsiH   ,A0       ,HrpsiH   ,A0
0089 ,0000 ,008c ,0009 ,0000 ,008c ,0009 ,22    ,HARPSICHORD4  ,HrpsiH   ,A1       ,HrpsiH   ,A1
008a ,0000 ,008d ,000b ,0000 ,008d ,000b ,22    ,HARPSICHORD4  ,HrpsiH   ,A2       ,HrpsiH   ,A2
008b ,0000 ,008e ,000d ,0000 ,008e ,000d ,22    ,HARPSICHORD4  ,HrpsiH   ,A3       ,HrpsiH   ,A3
008c ,0000 ,008f ,000f ,0000 ,008f ,000f ,22    ,HARPSICHORD4  ,HrpsiH   ,A4       ,HrpsiH   ,A4

008d ,0039 ,0012 ,0063 ,0042 ,0002 ,0063 ,23    ,FUNKYCLAVI    ,SinM13   ,A0       ,SinM13   ,A0
008e ,0041 ,0013 ,005f ,003e ,0003 ,005f ,23    ,FUNKYCLAVI    ,Pluck1   ,A1       ,Pluck1   ,A1
008f ,003f ,0014 ,0060 ,003c ,0004 ,0060 ,23    ,FUNKYCLAVI    ,Pluck1   ,A2       ,Pluck1   ,A2
0090 ,0040 ,0015 ,0061 ,003d ,0005 ,0061 ,23    ,FUNKYCLAVI    ,Pluck1   ,A3       ,Pluck1   ,A3
0091 ,0040 ,0016 ,0062 ,003d ,0006 ,0062 ,23    ,FUNKYCLAVI    ,Pluck1   ,A4       ,Pluck1   ,A4

0092 ,0031 ,0014 ,0067 ,0012 ,00d9 ,0067 ,24    ,SYNTHCLAVI
0093 ,0031 ,0014 ,0064 ,0012 ,00d9 ,0064 ,24    ,SYNTHCLAVI    ,SquarM1  ,A2       ,SquarM1  ,A2
0094 ,0031 ,0014 ,0065 ,0012 ,00d9 ,0065 ,24    ,SYNTHCLAVI    ,SquarM1  ,A3       ,SquarM1  ,A3
0095 ,0031 ,0014 ,0066 ,0012 ,00d9 ,0066 ,24    ,SYNTHCLAVI    ,SquarM1  ,A4       ,SquarM1  ,A4

0096 ,0031 ,00af ,004a ,0000 ,007c ,0007 ,25    ,SYNTHCLAVI2   ,??       ,??       ,HrpsiH   ,A0
0097 ,0031 ,00af ,004b ,0000 ,007c ,0007 ,25    ,SYNTHCLAVI2   ,??       ,??       ,HrpsiH   ,A0
0098 ,0031 ,00af ,004c ,0000 ,0084 ,0009 ,25    ,SYNTHCLAVI2   ,??       ,??       ,HrpsiH   ,A1
0099 ,0031 ,00af ,004d ,0000 ,0087 ,000b ,25    ,SYNTHCLAVI2   ,??       ,??       ,HrpsiH   ,A2
009a ,0031 ,00af ,004d ,0000 ,0089 ,000d ,25    ,SYNTHCLAVI2   ,??       ,??       ,HrpsiH   ,A3

009b ,0039 ,0012 ,0063 ,0000 ,007e ,005e ,26    ,HARPSI-CLAVI  ,SinM13   ,A0       ,Pluck1   ,A0
009c ,0041 ,0013 ,005f ,0000 ,007e ,0008 ,26    ,HARPSI-CLAVI  ,Pluck1   ,A1       ,HrpsiL   ,A1
009d ,003f ,0014 ,0060 ,0000 ,0081 ,000a ,26    ,HARPSI-CLAVI  ,Pluck1   ,A2       ,HrpsiL   ,A2
009e ,0040 ,0015 ,0061 ,0000 ,0083 ,000c ,26    ,HARPSI-CLAVI  ,Pluck1   ,A3       ,HrpsiL   ,A3
009f ,0040 ,0016 ,0062 ,0000 ,0086 ,000e ,26    ,HARPSI-CLAVI  ,Pluck1   ,A4       ,HrpsiL   ,A4

00a0 ,0031 ,007d ,005e ,0000 ,00e0 ,0068 ,27    ,HARPSI-GUITAR ,Pluck1   ,A0       ,AGuit1   ,A1
00a2 ,0031 ,0080 ,000a ,0000 ,00e2 ,006c ,27    ,HARPSI-GUITAR ,HrpsiL   ,A2       ,AGuit1   ,A3
00a3 ,0031 ,0082 ,000c ,0000 ,00e3 ,006e ,27    ,HARPSI-GUITAR ,HrpsiL   ,A3       ,AGuit1   ,A4
00a1 ,0031 ,007d ,0008 ,0000 ,00e1 ,006a ,27    ,HARPSI-GUITAR ,HrpsiL   ,A1       ,AGuit1   ,A2
00a4 ,0031 ,0085 ,000e ,0000 ,00e3 ,006f ,27    ,HARPSI-GUITAR ,HrpsiL   ,A4       ,AGuit2   ,A4

00a5 ,0031 ,007f ,0007 ,0046 ,003a ,0042 ,28    ,CHOIR-HPSCD   ,HrpsiH   ,A0       ,SineM3   ,A0
00a6 ,0031 ,0081 ,0009 ,0046 ,0049 ,0043 ,28    ,CHOIR-HPSCD   ,HrpsiH   ,A1       ,SineM3   ,A1
00a7 ,0031 ,0083 ,000b ,0046 ,0049 ,0044 ,28    ,CHOIR-HPSCD   ,HrpsiH   ,A2       ,SineM3   ,A2
00a8 ,0031 ,0086 ,000d ,0046 ,0049 ,0045 ,28    ,CHOIR-HPSCD   ,HrpsiH   ,A3       ,SineM3   ,A3
00a9 ,0031 ,0088 ,000f ,0046 ,0049 ,0046 ,28    ,CHOIR-HPSCD   ,HrpsiH   ,A4       ,SineM3   ,A4

00aa ,0000 ,007c ,0007 ,0000 ,0070 ,0047 ,29    ,STRING_HPSCD  ,HrpsiH   ,A0       ,??       ,??
00ab ,0000 ,0084 ,0009 ,0019 ,0070 ,0048 ,29    ,STRING-HPSCD  ,HrpsiH   ,A1       ,??       ,??
00ac ,0000 ,0084 ,000b ,0019 ,0070 ,0048 ,29    ,STRING-HPSCD  ,HrpsiH   ,A2       ,??       ,??
00ad ,0000 ,0084 ,000b ,0019 ,0070 ,0049 ,29    ,STRING-HPSCD  ,HrpsiH   ,A2       ,??       ,??
00ae ,0000 ,0089 ,000d ,0019 ,0070 ,0049 ,29    ,STRING-HPSCD  ,HrpsiH   ,A3       ,??       ,??
00af ,0000 ,008b ,000f ,0019 ,0070 ,0049 ,29    ,STRING-HPSCD  ,HrpsiH   ,A4       ,??       ,??

00b0 ,0000 ,00b7 ,0070 ,0000 ,00b7 ,0070 ,30    ,MARIMBA 1     ,??       ,??       ,??       ,??
00b1 ,0000 ,00c5 ,0071 ,0000 ,00c5 ,0071 ,30    ,MARIMBA 1     ,??       ,??       ,??       ,??
00b2 ,0000 ,00c6 ,0072 ,0000 ,00c6 ,0072 ,30    ,MARIMBA 1     ,??       ,??       ,??       ,??
00b3 ,0000 ,00c7 ,0073 ,0000 ,00c7 ,0073 ,30    ,MARIMBA 1     ,??       ,??       ,??       ,??

00b4 ,0031 ,005f ,0010 ,0012 ,005f ,0010 ,31    ,STEELDRUM     ,Sine1    ,A4       ,Sine1    ,A4
00b5 ,0037 ,005c ,0075 ,0019 ,005c ,0075 ,31    ,STEELDRUM     ,Horn3    ,A1       ,Horn3    ,A1
00b6 ,0031 ,005f ,0010 ,0012 ,005f ,0010 ,31    ,STEELDRUM     ,Sine1    ,A1       ,Sine1    ,A1
00b7 ,0037 ,005c ,0075 ,0019 ,005c ,0075 ,31    ,STEELDRUM     ,Horn3    ,A1       ,Horn3    ,A1
00b8 ,0031 ,005f ,0011 ,0012 ,005f ,0011 ,31    ,STEELDRUM     ,Sine1    ,A2       ,Sine1    ,A2
00b9 ,0037 ,005c ,0076 ,0019 ,005c ,0076 ,31    ,STEELDRUM     ,Horn3    ,A2       ,Horn3    ,A2
00ba ,0031 ,005f ,0012 ,0012 ,005f ,0012 ,31    ,STEELDRUM     ,Sine1    ,A3       ,Sine1    ,A3
00bb ,0037 ,005c ,0077 ,0019 ,005c ,0077 ,31    ,STEELDRUM     ,Horn3    ,A3       ,Horn3    ,A3
00bc ,0031 ,005f ,0013 ,0012 ,005f ,0013 ,31    ,STEELDRUM     ,Sine1    ,A4       ,Sine1    ,A4
00bd ,0037 ,005c ,0078 ,0019 ,005c ,0078 ,31    ,STEELDRUM     ,Horn3    ,A4       ,Horn3    ,A4

00be ,0000 ,00a2 ,0079 ,0000 ,00a2 ,0079 ,32    ,MARIMBA2      ,Buzz1    ,A0       ,Buzz1    ,A0
00bf ,0000 ,00a3 ,007a ,0000 ,00a3 ,007a ,32    ,MARIMBA2      ,Buzz1    ,A1       ,Buzz1    ,A1
00c0 ,0000 ,00a4 ,007b ,0000 ,00a4 ,007b ,32    ,MARIMBA2      ,Buzz1    ,A2       ,Buzz1    ,A2
00c1 ,0000 ,00a5 ,007c ,0000 ,00a5 ,007c ,32    ,MARIMBA2      ,Buzz1    ,A3       ,Buzz1    ,A3
00c2 ,0000 ,00a6 ,007d ,0000 ,00a6 ,007d ,32    ,MARIMBA2      ,Buzz1    ,A4       ,Buzz1    ,A4

00c3 ,0031 ,0024 ,0010 ,0012 ,0045 ,0010 ,33    ,VIBRAPHONE2   ,Sine1    ,A1       ,Sine1    ,A1
00c4 ,0031 ,0023 ,007e ,0012 ,002d ,007e ,33    ,VIBRAPHONE2   ,Horn4    ,A1       ,Horn4    ,A1
00c5 ,0031 ,0024 ,0010 ,0012 ,0045 ,0010 ,33    ,VIBRAPHONE2   ,Sine1    ,A1       ,Sine1    ,A1
